STRUTHIONIFORMES: Struthionidae
Common Ostrich
" 
ANSERIFORMES: Anatidae"
White-faced Whistling-Duck
Fulvous Whistling-Duck
White-backed Duck
Knob-billed Duck
Egyptian Goose
Spur-winged Goose
African Pygmy-Goose
Garganey
Hottentot Teal
Cape Shoveler
Northern Shoveler
Gadwall
Eurasian Wigeon
African Black Duck
Yellow-billed Duck
Cape Teal
Red-billed Duck
Northern Pintail
Green-winged Teal
Southern Pochard
Common Pochard
Tufted Duck
Maccoa Duck
 GALLIFORMES: Numididae
Helmeted Guineafowl
Vulturine Guineafowl
Crested Guineafowl
" 
GALLIFORMES: Phasianidae"
Udzungwa Partridge
Blue Quail
Common Quail
Harlequin Quail
Scaly Francolin
Hildebrandt's Francolin
Yellow-necked Francolin
Gray-breasted Francolin
Red-necked Francolin
Crested Francolin
Coqui Francolin
Latham's Francolin
Red-winged Francolin
Ring-necked Francolin
Shelley's Francolin
" 
PHOENICOPTERIFORMES: Phoenicopteridae"
Greater Flamingo
Lesser Flamingo
" 
PODICIPEDIFORMES: Podicipedidae"
Little Grebe
Great Crested Grebe
Eared Grebe
" 
COLUMBIFORMES: Columbidae"
Rock Pigeon
Speckled Pigeon
Afep Pigeon
Rameron Pigeon
Delegorgue's Pigeon
Lemon Dove
European Turtle-Dove
Dusky Turtle-Dove
Mourning Collared-Dove
Red-eyed Dove
Ring-necked Dove
Laughing Dove
Emerald-spotted Wood-Dove
Blue-spotted Wood-Dove
Tambourine Dove
Namaqua Dove
Pemba Green-Pigeon
African Green-Pigeon
" 
PTEROCLIFORMES: Pteroclidae"
Chestnut-bellied Sandgrouse
Yellow-throated Sandgrouse
Black-faced Sandgrouse
" 
OTIDIFORMES: Otididae"
Kori Bustard
Denham's Bustard
White-bellied Bustard
Buff-crested Bustard
Black-bellied Bustard
Hartlaub's Bustard
" 
MUSOPHAGIFORMES: Musophagidae"
Great Blue Turaco
Livingstone's Turaco
Schalow's Turaco
Black-billed Turaco
Fischer's Turaco
Hartlaub's Turaco
Purple-crested Turaco
Ross's Turaco
Bare-faced Go-away-bird
Gray Go-away-bird
White-bellied Go-away-bird
Eastern Plantain-eater
" 
CUCULIFORMES: Cuculidae"
Senegal Coucal
Blue-headed Coucal
Coppery-tailed Coucal
White-browed Coucal
Black Coucal
Blue Malkoha
Green Malkoha
Great Spotted Cuckoo
Levaillant's Cuckoo
Pied Cuckoo
Thick-billed Cuckoo
Dideric Cuckoo
Klaas's Cuckoo
African Emerald Cuckoo
Dusky Long-tailed Cuckoo
Barred Long-tailed Cuckoo
Black Cuckoo
Red-chested Cuckoo
Lesser Cuckoo
African Cuckoo
Madagascar Cuckoo
Common Cuckoo
" 
CAPRIMULGIFORMES: Caprimulgidae"
Pennant-winged Nightjar
Standard-winged Nightjar
Eurasian Nightjar
Sombre Nightjar
Rufous-cheeked Nightjar
Nubian Nightjar
Donaldson-Smith's Nightjar
Fiery-necked Nightjar
Abyssinian Nightjar
Rwenzori Nightjar
Swamp Nightjar
Plain Nightjar
Freckled Nightjar
Slender-tailed Nightjar
Square-tailed Nightjar
" 
CAPRIMULGIFORMES: Apodidae"
Mottled Spinetail
Bat-like Spinetail
Scarce Swift
Alpine Swift
Mottled Swift
Common Swift
Nyanza Swift
African Swift
Forbes-Watson's Swift
Little Swift
Horus Swift
White-rumped Swift
African Palm-Swift
" 
GRUIFORMES: Sarothruridae"
White-spotted Flufftail
Buff-spotted Flufftail
Red-chested Flufftail
Chestnut-headed Flufftail
Streaky-breasted Flufftail
Striped Flufftail
" 
GRUIFORMES: Rallidae"
African Rail
Corn Crake
African Crake
Spotted Crake
Lesser Moorhen
Eurasian Moorhen
Red-knobbed Coot
Allen's Gallinule
African Swamphen
Striped Crake
Black Crake
Baillon's Crake
" 
GRUIFORMES: Heliornithidae"
African Finfoot
" 
GRUIFORMES: Gruidae"
Gray Crowned-Crane
Wattled Crane
" 
CHARADRIIFORMES: Burhinidae"
Water Thick-knee
Indian Thick-knee
Spotted Thick-knee
" 
CHARADRIIFORMES: Recurvirostridae"
Black-winged Stilt
Pied Avocet
" 
CHARADRIIFORMES: Haematopodidae"
Eurasian Oystercatcher
" 
CHARADRIIFORMES: Charadriidae"
Black-bellied Plover
Pacific Golden-Plover
Long-toed Lapwing
Blacksmith Lapwing
Spur-winged Lapwing
Black-headed Lapwing
White-headed Lapwing
Senegal Lapwing
Black-winged Lapwing
Crowned Lapwing
Wattled Lapwing
Brown-chested Lapwing
Lesser Sand-Plover
Greater Sand-Plover
Caspian Plover
Kittlitz's Plover
Kentish Plover
Common Ringed Plover
Little Ringed Plover
Three-banded Plover
Forbes's Plover
White-fronted Plover
Chestnut-banded Plover
" 
CHARADRIIFORMES: Rostratulidae"
Greater Painted-Snipe
" 
CHARADRIIFORMES: Jacanidae"
Lesser Jacana
African Jacana
" 
CHARADRIIFORMES: Scolopacidae"
Whimbrel
Eurasian Curlew
Bar-tailed Godwit
Black-tailed Godwit
Ruddy Turnstone
Red Knot
Ruff
Broad-billed Sandpiper
Curlew Sandpiper
Temminck's Stint
Long-toed Stint
Sanderling
Little Stint
Pectoral Sandpiper
Jack Snipe
Great Snipe
Common Snipe
African Snipe
Terek Sandpiper
Red-necked Phalarope
Red Phalarope
Common Sandpiper
Green Sandpiper
Spotted Redshank
Common Greenshank
Marsh Sandpiper
Wood Sandpiper
Common Redshank
" 
CHARADRIIFORMES: Turnicidae"
Small Buttonquail
Black-rumped Buttonquail
Quail-plover
" 
CHARADRIIFORMES: Dromadidae"
Crab-Plover
" 
CHARADRIIFORMES: Glareolidae"
Temminck's Courser
Double-banded Courser
Three-banded Courser
Bronze-winged Courser
Collared Pratincole
Black-winged Pratincole
Madagascar Pratincole
Rock Pratincole
" 
CHARADRIIFORMES: Stercorariidae"
Pomarine Jaeger
Parasitic Jaeger
Long-tailed Jaeger
" 
CHARADRIIFORMES: Laridae"
Slender-billed Gull
Gray-hooded Gull
Black-headed Gull
Sooty Gull
Herring Gull
Lesser Black-backed Gull
Kelp Gull
Brown Noddy
Lesser Noddy
Sooty Tern
Bridled Tern
Little Tern
Saunders's Tern
Gull-billed Tern
Caspian Tern
White-winged Tern
Whiskered Tern
Roseate Tern
Black-naped Tern
Common Tern
White-cheeked Tern
Great Crested Tern
Sandwich Tern
Lesser Crested Tern
African Skimmer
" 
PHAETHONTIFORMES: Phaethontidae"
White-tailed Tropicbird
" 
PROCELLARIIFORMES: Diomedeidae"
White-capped Albatross
" 
PROCELLARIIFORMES: Oceanitidae"
White-bellied Storm-Petrel
" 
PROCELLARIIFORMES: Procellariidae"
Southern Giant-Petrel
White-chinned Petrel
Wedge-tailed Shearwater
Tropical Shearwater
" 
CICONIIFORMES: Ciconiidae"
African Openbill
Black Stork
Abdim's Stork
Woolly-necked Stork
White Stork
Saddle-billed Stork
Marabou Stork
Yellow-billed Stork
" 
SULIFORMES: Fregatidae"
Lesser Frigatebird
Great Frigatebird
" 
SULIFORMES: Sulidae"
Masked Booby
Brown Booby
Red-footed Booby
Cape Gannet
" 
SULIFORMES: Anhingidae"
African Darter
" 
SULIFORMES: Phalacrocoracidae"
Long-tailed Cormorant
Great Cormorant
" 
PELECANIFORMES: Pelecanidae"
Great White Pelican
Pink-backed Pelican
" 
PELECANIFORMES: Balaenicipitidae"
Shoebill
" 
PELECANIFORMES: Scopidae"
Hamerkop
" 
PELECANIFORMES: Ardeidae"
Great Bittern
Little Bittern
Dwarf Bittern
Gray Heron
Black-headed Heron
Goliath Heron
Purple Heron
Great Egret
Intermediate Egret
Little Egret
Western Reef-Heron
Black Heron
Cattle Egret
Squacco Heron
Madagascar Pond-Heron
Rufous-bellied Heron
Striated Heron
Black-crowned Night-Heron
White-backed Night-Heron
" 
PELECANIFORMES: Threskiornithidae"
Glossy Ibis
African Sacred Ibis
Olive Ibis
Spot-breasted Ibis
Hadada Ibis
African Spoonbill
" 
ACCIPITRIFORMES: Sagittariidae"
Secretarybird
" 
ACCIPITRIFORMES: Pandionidae"
Osprey
" 
ACCIPITRIFORMES: Accipitridae"
Black-winged Kite
Scissor-tailed Kite
African Harrier-Hawk
Palm-nut Vulture
Bearded Vulture
Egyptian Vulture
European Honey-buzzard
Oriental Honey-buzzard
African Cuckoo-Hawk
White-headed Vulture
Lappet-faced Vulture
Hooded Vulture
White-backed Vulture
Rüppell's Griffon
Bateleur
Short-toed Snake-Eagle
Beaudouin's Snake-Eagle
Black-chested Snake-Eagle
Brown Snake-Eagle
Fasciated Snake-Eagle
Banded Snake-Eagle
Bat Hawk
Crowned Eagle
Martial Eagle
Long-crested Eagle
Lesser Spotted Eagle
Greater Spotted Eagle
Wahlberg's Eagle
Booted Eagle
Ayres's Hawk-Eagle
Tawny Eagle
Steppe Eagle
Imperial Eagle
Cassin's Hawk-Eagle
Verreaux's Eagle
African Hawk-Eagle
Lizard Buzzard
Dark Chanting-Goshawk
Eastern Chanting-Goshawk
